dt;o;h;l;c;agb;ags;dur;qt;trd;dirn;is_rev;seq_before;wick;wick_net;trav;brk;newday;sujo;ok;dur_eff;agtot;unk_share;avg_trd;hora;dpos;minac;elig_ntsl;sinal;y;bars
2026-07-06 11:00:22.305;174750,0;174805,0;174700,0;174700,0;2653,0;4077,0;0,12;9465,0;2958,0;-1;1;3;11,0;1,0;21,0;0;0;0;1;0,12;6730,0;0,28895932382461703;3,1997971602434077;11,0;0,40274841437632136;116,90999999999994;1;1;1,0;5,0
2026-07-06 11:25:22.502;174350,0;174415,0;174300,0;174300,0;19316,0;23336,0;1,25;56668,0;15671,0;-1;1;3;13,0;3,0;23,0;0;0;0;1;1,25;42652,0;0,24733535681513377;3,616106183396082;11,416666666666666;0,41847826086956524;141,61999999999992;1;1;1,0;3,0
2026-07-06 11:53:45.611;174100,0;174180,0;174050,0;174050,0;7764,0;11321,0;0,57;25836,0;7293,0;-1;1;4;16,0;6,0;26,0;0;0;0;1;0,57;19085,0;0,2613020591422821;3,5425750719868367;11,883333333333333;0,43456375838926176;169,82999999999987;1;1;0,0;1,0
2026-07-06 12:06:56.692;174200,0;174265,0;174150,0;174150,0;5465,0;9365,0;0,35;19113,0;5904,0;-1;1;3;13,0;3,0;23,0;0;0;0;1;0,35;14830,0;0,22408831685240413;3,2372967479674797;12,1;0,401006711409396;182,97999999999988;1;1;0,0;3,0
2026-07-06 12:10:50.487;174250,0;174310,0;174200,0;174200,0;36518,0;35593,0;4,52;96208,0;25779,0;-1;1;3;12,0;2,0;22,0;0;0;0;1;4,52;72111,0;0,2504677365707633;3,732029946855968;12,166666666666666;0,38422818791946306;186,82999999999987;1;1;1,0;5,0
2026-07-06 12:40:13.654;174400,0;174465,0;174350,0;174350,0;4745,0;11408,0;0,43;21025,0;5403,0;-1;1;7;13,0;3,0;23,0;0;0;0;1;0,43;16153,0;0,2317241379310345;3,8913566537109014;12,666666666666666;0,3338926174496644;216,0799999999999;1;1;1,0;3,0
2026-07-06 13:40:16.094;174300,0;174400,0;174250,0;174250,0;36014,0;41969,0;5,48;111207,0;30771,0;-1;1;4;20,0;10,0;30,0;0;0;0;1;5,48;77983,0;0,29875817169782476;3,614019693867603;13,666666666666666;0,3674496644295302;276,00999999999993;1;1;0,0;1,0
2026-07-06 14:03:35.839;174350,0;174430,0;174300,0;174300,0;13223,0;20194,0;1,23;44559,0;11915,0;-1;1;3;16,0;6,0;26,0;0;0;0;1;1,23;33417,0;0,25005049484952535;3,7397398237515738;14,05;0,35067114093959734;299,28999999999996;1;1;0,0;1,0
2026-07-06 16:25:22.664;174600,0;174700,0;174550,0;174550,0;61125,0;74110,0;12,78;185919,0;48729,0;-1;1;3;20,0;10,0;30,0;0;0;0;1;12,78;135235,0;0,2726133423695265;3,815366619466847;16,416666666666668;0,26677852348993286;440,62999999999977;1;1;0,0;1,0
2026-07-07 10:35:30.499;175400,0;175450,0;175315,0;175450,0;12630,0;12130,0;0,47;36001,0;10791,0;1;1;4;17,0;7,0;27,0;0;0;0;1;0,47;24760,0;0,31224132662981585;3,336206097673988;10,583333333333334;0,3321678321678322;90,5599999999999;1;1;1,0;7,0
