close_time,pattern,side,close,R,br0,br1,br2,wick0,openpos0,run_prev,aggdn0,aggdn1,daggdn,diverg0,aggt0,aggt_rel0,aggt_ratio01,agg_per_R,dur0,dur_rel0,dur_rel50,dur_ratio01,intens0,intens_rel,regime_dur,regime_aggt,hour,dow
2026-06-03 12:19:54,P1,1,4450.21,3.27,0.110092,0.804281,1.0,0.889908,0.889908,3,0.175972,0.02809,0.147882,0.175972,7.255591,3.743386,3.974719,432.721713,5.595031,4.174396,2.539162,4.23771,1.837076,0.857667,4.177789,5.937536,12,3
2026-06-03 12:31:57,P1,1,4442.58,3.27,0.480122,0.954128,0.535168,0.519878,0.519878,4,0.114206,-0.035897,0.150104,0.114206,6.577861,1.440321,3.682051,219.571865,4.794724,1.429878,1.273665,5.051454,1.944448,1.032336,4.440685,6.213608,12,3
2026-06-03 12:42:07,P2,-1,4445.27,3.27,0.966361,0.926606,1.0,0.033639,0.966361,3,-0.006897,-0.001647,-0.005249,-0.006897,6.077642,0.885947,0.716639,133.027523,4.60543,0.917132,1.075656,0.630237,1.685062,0.926962,4.691105,6.198479,12,3
2026-06-03 13:02:04,P1,1,4444.08,3.27,0.443425,0.66055,0.862385,0.556575,0.556575,2,-0.038062,-0.085714,0.047652,-0.038062,7.053586,2.23166,1.138916,353.51682,5.524891,2.110367,2.572736,0.942082,1.727507,1.044919,4.782446,6.251904,13,3
2026-06-03 13:06:14,P1,-1,4456.43,3.27,0.440367,0.825688,0.896024,0.559633,0.440367,6,0.411765,-0.32,0.731765,0.411765,3.555348,0.087404,0.68,10.397554,1.281767,0.027802,0.03052,0.642875,2.643466,2.950018,4.549948,5.966147,13,3
2026-06-03 13:09:58,P1,1,4461.02,3.27,0.119266,1.0,0.577982,0.880734,0.880734,2,-0.045455,-0.194969,0.149514,-0.045455,5.983936,3.535714,1.245283,121.100917,3.825026,4.342697,0.72997,1.254976,2.285702,0.813294,2.426924,4.727388,13,3
2026-06-03 13:49:06,P2,1,4456.47,3.27,0.804281,0.957187,0.752294,0.195719,0.195719,3,-0.021231,0.03438,-0.055611,-0.021231,6.849066,1.714286,1.408072,288.073394,5.597084,3.174708,3.612293,1.479005,1.505535,0.579914,4.449901,6.310827,13,3
2026-06-03 14:22:15,P2,-1,4462.39,3.27,0.88685,0.920489,0.535168,0.11315,0.88685,2,0.006515,-0.003831,0.010346,0.006515,6.421622,0.826936,2.35249,187.767584,4.405658,0.597468,1.626081,1.692245,2.150412,1.403631,4.915786,6.611369,14,3
2026-06-03 14:46:27,P1,1,4461.68,3.27,0.073394,0.504587,0.198777,0.926606,0.926606,3,0.100292,-0.096296,0.196588,0.100292,6.93537,1.0885,1.086772,314.067278,5.307842,1.050396,2.556743,0.997013,1.810195,1.112515,5.258924,6.850656,14,3
2026-06-03 15:10:56,P2,1,4460.32,3.27,0.727829,1.0,0.559633,0.272171,0.272171,2,0.020725,-0.033898,0.054624,0.020725,6.650279,0.823467,6.542373,236.085627,5.101128,0.863785,1.576247,6.297781,1.745749,1.010435,5.246729,6.844283,15,3
2026-06-03 15:23:13,P2,-1,4459.16,3.27,0.944954,1.0,0.293578,0.055046,0.944954,2,0.141221,0.005376,0.135845,0.141221,6.263398,0.576775,1.408602,160.244648,4.70871,0.538521,0.841203,1.595242,1.752253,1.033446,5.323468,6.812895,15,3
2026-06-03 15:30:57,P1,1,4455.1,3.27,0.474006,0.819572,0.896024,0.525994,0.525994,3,-0.052142,-0.11194,0.059799,-0.052142,6.980076,1.182168,1.335821,328.440367,5.324925,1.007088,1.457353,1.413594,1.833314,1.128408,5.317897,6.812895,15,3
2026-06-03 15:43:05,P2,-1,4454.3,3.27,0.880734,0.776758,1.0,0.119266,0.880734,3,0.27115,0.044586,0.226564,0.27115,6.135565,0.931313,1.468153,140.978593,4.32852,0.701729,0.552565,1.216207,1.968575,1.227888,4.678788,6.206576,15,3
2026-06-03 15:45:28,P2,-1,4457.38,3.27,0.801223,0.978593,0.764526,0.198777,0.801223,2,0.074074,-0.208791,0.282865,0.074074,6.293419,1.090909,5.934066,165.137615,4.437863,0.974732,0.639797,4.881972,2.009528,1.229552,4.463157,6.206576,15,3
2026-06-03 15:55:59,P2,1,4458.53,3.27,0.853211,1.0,1.0,0.146789,0.146789,4,0.248485,0.004292,0.244193,0.248485,5.111988,0.432503,0.708155,50.458716,3.141347,0.333574,0.200659,0.68047,2.13467,1.351428,4.210007,5.946729,15,3
2026-06-03 16:04:13,P1,-1,4462.45,3.27,0.351682,0.755352,0.574924,0.648318,0.351682,2,-0.019157,-0.053079,0.033921,-0.019157,5.568345,0.574257,0.27707,79.816514,3.438076,0.412651,0.282513,0.226572,2.268338,1.503719,4.30418,6.121396,16,3
2026-06-03 16:21:33,P1,1,4456.24,3.27,0.486239,0.657492,1.0,0.513761,0.513761,5,0.117117,0.002358,0.114759,0.117117,5.811141,0.623596,0.392689,101.834862,3.945245,0.490728,0.486816,0.406224,2.024123,1.100671,4.647209,6.282267,16,3
2026-06-03 16:36:16,P2,1,4449.41,3.27,0.792049,0.877676,0.513761,0.207951,0.207951,2,-0.009881,-0.234043,0.224161,-0.009881,6.920672,1.8863,10.765957,309.480122,4.82664,1.594536,1.558217,10.927878,2.21649,1.18982,4.364811,6.286929,16,3
