index;date;pivot;entry;body;range;upper_wick;lower_wick;upper_wick_ratio;lower_wick_ratio;quantity;trades;duration;run_length;prev_quantity;prev_trades;prev_duration;future_move;adverse_move;net_move;quantity_percentile;trades_percentile;wick_imbalance;quantity_q;trades_q;wick_q
607;2026-06-23 11:23:39.025;HIGH;173650;50;105;55;0;0,5238095238095238;0,0;38280;4774;0,67;4;7266;541;0,01;270;50;220;0,7790808429574949;0,848910584593404;-55;3;3;1
613;2026-06-23 11:26:54.269;LOW;173500;50;120;0;70;0,0;0,5833333333333334;24108;2478;0,34;6;31856;4151;0,55;300;90;210;0,6532920585784022;0,6684129062983688;70;2;2;2
619;2026-06-23 11:29:10.958;HIGH;173650;50;150;100;0;0,6666666666666666;0,0;82535;9742;1,58;6;31799;4220;0,48;130;140;-10;0,9448743898083105;0,9663055125610192;-100;3;3;0
623;2026-06-23 11:32:50.344;LOW;173700;50;105;0;55;0,0;0,5238095238095238;9721;1054;0,18;2;24409;2280;0,34;100;180;-80;0,5050005953089653;0,5073818311703774;55;2;2;2
626;2026-06-23 11:34:02.156;LOW;173650;50;130;0;80;0,0;0,6153846153846154;50911;6136;1,39;2;9062;981;0,08;270;45;225;0,8568877247291344;0,9011191808548636;80;3;3;3
629;2026-06-23 11:37:18.737;HIGH;173650;50;140;90;0;0,6428571428571429;0,0;53147;5371;1,53;3;59672;7218;1,84;45;270;-225;0,8676032861054888;0,8758780807238957;-90;3;3;0
636;2026-06-23 11:44:02.059;HIGH;173800;50;120;70;0;0,5833333333333334;0,0;30258;3534;0,48;4;35064;3842;0,75;55;385;-330;0,7177044886295988;0,7672341945469698;-70;2;3;1
638;2026-06-23 11:45:32.694;LOW;173850;50;105;0;55;0,0;0,5238095238095238;14585;1679;0,37;2;27362;3372;1,02;335;100;235;0,5544707703298012;0,5805453030122634;55;2;2;2
645;2026-06-23 11:52:36.501;HIGH;174050;50;135;85;0;0,6296296296296297;0,0;54719;6207;0,91;7;14218;1115;0,02;260;60;200;0,8728420050005953;0,9032027622335992;-85;3;3;0
651;2026-06-23 11:58:38.744;LOW;173900;50;110;0;60;0,0;0,5454545454545454;23490;2762;0,72;6;43612;5630;1,6;375;50;325;0,6468627217525896;0,6961543040838195;60;2;2;2
