regra,n_tr,n_te,lok_tr,lok_te,ic_te,lcont_tr,lcont_te,ok_te,R_te
contra3>0 & relqtd<0.5,423,238,0.022764925289580934,0.02965599551329072,0.062009447282222345,0.002295338759089647,0.013099054500304118,0.5588235294117647,
contra3>0 & tend5>0,877,524,0.000790621883271642,0.0039010123626712686,0.04116137185049141,-0.01811746299779998,-0.006110151361192441,0.6030534351145038,
contra3>0 & contra_tend5,360,214,0.03499008272279576,0.02125819537882013,0.0641445734507624,0.015472033162822595,0.04861963324162883,0.6401869158878505,
contra3>0 & viradas5>=3,755,453,0.0006765729132464586,0.011406592393918023,0.044329007467670316,-0.00759880917636349,-0.005499224757430929,0.6291390728476821,
contra3>0 & viradas5<=1,945,597,-0.010268013775972447,0.016307217464239288,0.03899202703389759,-0.01138747619369017,-0.0011661230167236876,0.6147403685092128,
contra3>0 & manha,2430,1326,-0.0010978078372100859,0.004708041118003311,0.026021841411634723,-0.0054025933272182775,-0.0042395779206568646,0.610105580693816,
contra3>0 & tarde,364,329,0.008574540457787518,-0.0081114797135233,0.05166505866790781,-0.0061508418019207995,-0.015069378218137136,0.601823708206687,
contra3>0 & cdelta_fav,770,490,0.016824158165859006,0.024910400674695053,0.041773726572569905,-0.004090513212310017,0.008499690935314195,0.6285714285714286,
contra3>0 & cdelta_ctr,2351,1393,-0.004349126068050252,0.001976138816392842,0.02554223706390276,-0.0032596398899536125,-0.0049553549350432715,0.6080402010050251,
contra3<-.3 & pavio=50,461,289,-0.039009544225146346,-0.008453133834015312,0.05565964886572051,-0.03818599230096355,0.019106338948238943,0.36678200692041524,
contra3<-.3 & pavio<=65,1387,851,-0.024711040920482378,-0.013256054550458703,0.03277419150623452,-0.01439093886324294,0.0016939053932748499,0.3889541715628672,
contra3<-.3 & pavio>=115,352,235,-0.022555953244510984,-0.028704100665826134,0.06202640549194698,-0.017500278252528454,-0.04841384785553483,0.6085106382978723,
contra3<-.3 & seq>=3,2764,1675,-0.029501345773597018,-0.003999279483510484,0.023557334821878453,-0.014210862790806942,-0.0034148052987919716,0.4632835820895522,
contra3<-.3 & seq>=5,1296,786,-0.04481070261567454,-0.015113552920165646,0.034456906740792236,-0.024833274106550837,-0.00214276047500363,0.4580152671755725,
contra3<-.3 & rqtd>1.5,475,310,-0.046697017575602184,-0.02342689906854421,0.05507317108539642,-0.029831370344743334,-0.027741698359133544,0.5516129032258065,
contra3<-.3 & rqtd<0.6,1303,797,-0.016951843136431933,-0.005402511535888382,0.03394675035199063,-0.012002705189433544,0.004042370791348067,0.4203262233375157,
contra3<-.3 & rdur>1.5,396,265,-0.02983945131832942,0.02317971817739359,0.05876856700625545,-0.02969865690708812,0.01260626607759251,0.6037735849056604,
contra3<-.3 & rdur<0.6,1948,1207,-0.02319349488799454,-0.002513759248168513,0.02774646316188963,-0.008644521527015931,0.003660707824427598,0.43496271748135873,
contra3<-.3 & part>.85,390,272,-0.0312703149898406,0.0645700156249454,0.05808130415462822,-0.018691830516613345,0.04380397948293296,0.5220588235294118,
contra3<-.3 & part<.70,526,293,-0.0642031409461711,-0.041223515770766356,0.056448975159591915,-0.03172982194420231,-0.025333556988082057,0.46075085324232085,
contra3<-.3 & vel_alta,1250,741,-0.027132401781559498,0.019879398809388594,0.03526181875409408,-0.011569276859553966,0.022409192596244205,0.4493927125506073,
contra3<-.3 & vel_baixa,251,140,-0.0532428038243769,0.05766868374024247,0.07834952003151484,-0.031634420753584185,0.047127208811835575,0.6357142857142857,
contra3<-.3 & acel>2,980,620,-0.05618263399857606,-0.03007508968381434,0.0389857558961715,-0.014666361715038573,-0.02061431929055116,0.49838709677419357,
contra3<-.3 & acel<0.5,1006,611,-0.029513537923987167,0.0034801350101321495,0.038788203614915424,-0.024296220104809235,0.024623304875928554,0.4206219312602291,
contra3<-.3 & relqtd>2,941,590,-0.04482264647799751,-0.02383865374473906,0.040046197685004066,-0.01014125662355744,-0.01725513235799008,0.5101694915254237,
contra3<-.3 & relqtd<0.5,643,388,-0.025395047881697518,-2.5966202782163747e-05,0.048560840282668286,-0.015425209841387913,0.016446095739541398,0.4175257731958763,
contra3<-.3 & tend5>0,2838,1716,-0.029082315508913,-0.0033694090202616937,0.02327516089941928,-0.013841495023158682,-0.0022871407098115967,0.46561771561771564,
contra3<-.3 & tend5forte,2299,1406,-0.033302651756829164,-0.004338406555607685,0.025734595050579095,-0.019904967547953543,-0.004816851497128011,0.4672830725462304,
contra3<-.3 & viradas5<=1,2175,1308,-0.03312530957191889,0.007419741826634096,0.02678671198109678,-0.019505074622672553,0.007296189595030756,0.47553516819571867,
contra3<-.3 & manha,2293,1282,-0.021493667569443712,0.0012253156364845823,0.026978982274970843,-0.007696074719591023,-0.00048153682098510755,0.47425897035881437,
contra3<-.3 & tarde,264,225,-0.04505304415156931,-0.028167147164052563,0.063573413150369,-0.04345138434920264,-0.024972012298963075,0.4222222222222222,
contra3<-.3 & cdelta_fav,2755,1674,-0.027759058359968707,-0.007368889429869373,0.02355441125719731,-0.012072933022292173,-0.004804892578346797,0.46176821983273597,
pavio=50 & pavio<=65,787,491,-0.0372427646426135,0.005620256394245639,0.042996601943797584,-0.03112163025723232,0.007725004337001372,0.38085539714867617,
pavio=50 & seq>=3,512,332,-0.04125076575443051,-0.016801405814671495,0.05166153108882635,-0.03247913899293753,0.005995070344411869,0.35843373493975905,
pavio=50 & seq>=5,221,147,-0.10374192808474723,-0.03509908633266183,0.07684810771291846,-0.05781673797483796,-0.013306626237835488,0.3401360544217687,
pavio=50 & rqtd<0.6,634,395,-0.03296384737903621,-0.010678178729114066,0.04752574917355517,-0.040088316832054244,-0.005763355765089427,0.36455696202531646,
pavio=50 & rdur<0.6,729,471,-0.033671354746200075,0.0005610375895185205,0.043787135351861683,-0.035198510563582246,0.0011220751790369937,0.37579617834394907,
pavio=50 & vel_alta,555,343,-0.020280185799475575,-0.01080365387396405,0.05100727841559979,-0.011100338317261855,0.007101537027470635,0.36443148688046645,
pavio=50 & acel<0.5,637,379,-0.0408552349459533,-0.000564956057860601,0.04879657122952338,-0.03685450692857332,0.015070951706270914,0.37467018469656993,
pavio=50 & relqtd<0.5,486,279,-0.03572896791492436,-0.020396431077011182,0.056244922147158545,-0.038627865844789375,0.0049802584084961635,0.3548387096774194,
pavio=50 & tend5>0,681,428,-0.03896494985868897,0.0009330835446348914,0.04594803397569381,-0.030388348794699642,0.011822116848183966,0.37616822429906543,
pavio=50 & tend5forte,458,304,-0.056457848178011305,-0.00023514075443052893,0.05451178453752313,-0.03175417993180216,0.017171354428115102,0.375,
pavio=50 & viradas5<=1,451,295,-0.03598902102050591,-0.0023537848222271425,0.055276762245239794,-0.028239428627083864,-0.018979403823446005,0.3728813559322034,
