regra,n,por_dia,p,p_acaso,lift,pts,pts_acaso,n_tr,p_tr,n_te,p_te,pts_te,lift_tr,lift_te
perna>=5 & vira20<=5,554,15.82857142857143,0.37364620938628157,0.38985868661679135,-0.01621247723050978,6.046931407942238,8.478802992518704,333,0.3813813813813814,221,0.36199095022624433,4.298642533936651,-0.00847730523540996,-0.027867736390547015
perna>=5 & vira50<=14,487,13.914285714285715,0.3655030800821355,0.38208739617190324,-0.016584316089767737,4.825462012320329,7.313109425785482,293,0.3856655290102389,194,0.33505154639175255,0.25773195876288657,0.0035781328383356903,-0.047035849780150685
perna>=5 & amp20>=500,773,22.085714285714285,0.36739974126778785,0.3868363102520186,-0.01943656898423074,5.109961190168176,8.02544653780279,474,0.3649789029535865,299,0.3712374581939799,5.68561872909699,-0.021857407298432108,-0.015598852058038681
perna>=5 & dext20<=0.5,993,28.37142857142857,0.36253776435045315,0.3825991628463225,-0.020061398495869354,4.380664652567976,7.389874426948375,600,0.365,393,0.35877862595419846,3.816793893129771,-0.017599162846322514,-0.023820536892124045
perna>=5 & dext50<=0.5,677,19.34285714285714,0.3663220088626292,0.3781094527363184,-0.011787443873689185,4.948301329394387,6.7164179104477615,410,0.36829268292682926,267,0.36329588014981273,4.49438202247191,-0.009816769809489145,-0.014813572586505674
perna>=5 & dext50>=3,383,10.942857142857143,0.36553524804177545,0.3973160795590702,-0.03178083151729477,4.830287206266319,9.597411933860531,235,0.37446808510638296,148,0.35135135135135137,2.7027027027027026,-0.02284799445268726,-0.04596472820771885
perna>=5 & furo>=0,946,27.02857142857143,0.36046511627906974,0.3832048343404876,-0.022739718061417835,4.069767441860465,7.48072515107314,570,0.3631578947368421,376,0.35638297872340424,3.4574468085106385,-0.020046939603645453,-0.026821855617083334
perna>=5 & pos20>=0.8,574,16.4,0.37630662020905925,0.38038200064745875,-0.004075380438399501,6.445993031358885,7.057300097118809,350,0.3657142857142857,224,0.39285714285714285,8.928571428571429,-0.014667714933173037,0.012475142209684098
perna>=5 & pos50>=0.8,650,18.571428571428573,0.3707692307692308,0.37948555096856146,-0.008716320199330663,5.615384615384615,6.922832645284217,392,0.375,258,0.3643410852713178,4.651162790697675,-0.004485550968561458,-0.015144465697243648
perna<=2 & pernapav>=90,2796,79.88571428571429,0.3522889842632332,0.3762372525494901,-0.023948268286256902,2.8433476394849784,6.4355878824235155,1732,0.3446882217090069,1064,0.36466165413533835,4.6992481203007515,-0.03154903084048316,-0.011575598414151733
perna<=2 & pav<=110,738,21.085714285714285,0.34417344173441733,0.37980890118179533,-0.035635459447378004,1.6260162601626016,6.971335177269299,469,0.3411513859275053,269,0.34944237918215615,2.41635687732342,-0.03865751525429001,-0.030366521999639184
perna<=2 & pav>=130,1346,38.457142857142856,0.36478454680534916,0.37255225977030487,-0.007767712964955709,4.7176820208023775,5.882838965545733,815,0.36687116564417177,531,0.3615819209039548,4.237288135593221,-0.005681094126133102,-0.010970338866350071
perna<=2 & pav=150,271,7.742857142857143,0.3505535055350554,0.37541215261422517,-0.024858647079169793,2.5830258302583027,6.311822892133773,173,0.31213872832369943,98,0.41836734693877553,12.755102040816327,-0.06327342429052574,0.04295519432455036
perna<=2 & pav1<=70,622,17.771428571428572,0.364951768488746,0.38269575612671847,-0.01774398763797247,4.742765273311897,7.404363419007771,398,0.36432160804020103,224,0.36607142857142855,4.910714285714286,-0.01837414808651744,-0.01662432755528992
perna<=2 & pav1>=110,1856,53.02857142857143,0.34698275862068967,0.37574667981209764,-0.02876392119140797,2.0474137931034484,6.362001971814649,1151,0.3353605560382276,705,0.3659574468085106,4.8936170212765955,-0.04038612377387002,-0.009789233003587028
