feature,lag,mean_pos,mean_neg,cohens_d,auc,abs_auc_gap
AggImbalance,0,-0.007246455165877194,-0.010959859869821724,0.016713344497749485,0.5053265583682125,0.005326558368212497
AggBalanceNormMean3Change,2,0.30382786015844987,-0.3123697775519988,0.021279275700348446,0.5053147581616266,0.0053147581616266315
WickAsym,0,-0.004766969027065413,0.01128320935355108,-0.026791437509191503,0.4946885349192811,0.005311465080718891
OpenLocation,0,0.5009749863618433,0.4988485029058207,0.019836188059161652,0.5053114650807189,0.005311465080718891
QuantityPerTradeRatio20,0,1.0873701478959694,1.034812977753871,0.08590183322240276,0.4948656098105333,0.005134390189466709
DurationResidualMean5,1,-965.1136807817591,-840.8473846933605,-0.011428154546967903,0.5051300592746926,0.005130059274692567
CloseChange3Bricks,2,0.02275189599133261,0.009625126646403243,0.004470597752521836,0.5050902798130847,0.0050902798130847415
AggBalanceAcceleration,1,3.192787288378368,1.5388175746984223,0.021918278093751013,0.5049892919985818,0.00498929199858178
BuyShare,1,0.49478960489682455,0.4994996239713407,-0.01871012489963721,0.4951567012549931,0.004843298745006885
AggTotalPerTrade,1,2.4754135141819873,2.490316714350821,-0.02975305951005074,0.49541987330420056,0.004580126695799436
AggBalanceNormMean5,0,-0.18356088680237923,-0.9313671392223013,0.020834845054704648,0.5045471958867224,0.004547195886722366
LowerWickNorm,0,0.30064795945106065,0.29315627342605494,0.02491511082440261,0.5045441772292236,0.004544177229223623
DurationResidual,2,-973.3161062906726,-1032.9729599594525,0.005655787335576488,0.4955101571871018,0.004489842812898215
BuyShare,2,0.4949907783425037,0.4993518139782971,-0.017483415854471232,0.4955194890016586,0.004480510998341403
DurationResidualMean5,2,63.76426710097709,-894.7473593512419,0.06309543257967495,0.5044702286513976,0.0044702286513975675
ConsecutiveDownCount,1,2.6684723726977246,2.5861195542046604,0.024764137249456433,0.5044173936142771,0.004417393614277065
ConsecutiveDownCount,2,2.164680390032503,2.0962512664640323,0.023245755168064042,0.5044173936142771,0.004417393614277065
DurationRatio20,0,1.6399203232752577,1.626542939749894,0.0076604095317723084,0.4956583068826116,0.004341693117388412
LogDuration,1,4.302462206083008,4.273537371350422,0.010723421781049574,0.5042475255241212,0.004247525524121221
BuyShare,0,0.49529334879842646,0.4945200700650891,0.006913361008512796,0.5042365485877622,0.004236548587762234
RunLength,1,5.318526543878656,5.137791286727457,0.0584469129651159,0.5042316089664007,0.004231608966400735
RunLength,2,4.318526543878656,4.137791286727457,0.0584469129651159,0.5042316089664007,0.004231608966400735
WickTotalNorm,2,0.2935213760297515,0.29016967215810235,0.015399460376441873,0.5041336398093965,0.0041336398093965165
Range,2,79.63705308775731,78.51823708206688,0.03946807668754927,0.5041336398093965,0.0041336398093965165
BodyNorm,2,0.7064786239702485,0.7098303278418976,-0.015399460376441616,0.49586636019060354,0.004133639809396461
AggTotalRatio20,2,0.9358561051408102,0.9021952690485663,0.03992047737538963,0.5041237289085958,0.004123728908595803
AggTotalPerTrade,0,2.416575508090723,2.432683460570104,-0.030817431347752045,0.4958767882801446,0.004123211719855413
AggImbalance,2,-0.00026763074727854865,0.0073155833770602,-0.015482599102913644,0.4959190494851268,0.004080950514873227
AggBalanceNorm,2,-1.7166179365541896,-1.1219250643376768,-0.008616904789206702,0.49597997148191936,0.004020028518080643
DurationResidualMean3,0,-221.09434201012317,-744.4205946950501,0.042709275274246575,0.49615772802684394,0.003842271973156064
TradesResidual20,2,-746.3011388286334,-1220.2316269640141,0.07017276002732875,0.4963215447587991,0.0036784552412009175
RangeRatio20,0,1.3475107484092053,1.3489129648474363,-0.007568412198041727,0.49651037377700913,0.0034896262229908714
AggShareOfQuantity,2,0.7797884752120653,0.7808700737242608,-0.008583307539880592,0.496530464840324,0.0034695351596760182
AggTotalPerQuantity,2,0.7797884752120653,0.7808700737242608,-0.008583307539880592,0.496530464840324,0.0034695351596760182
SellShare,2,0.4952584090897823,0.4920362306012369,0.012922106563808378,0.5034297437653745,0.0034297437653745266
AggPerBrickProgress,0,579.8341495124594,581.3154711246201,-0.0027998354184800805,0.4968938014338074,0.0031061985661925973
AggSellNorm,0,112.28952083579557,112.90739423638425,-0.006294994355659073,0.49716795041937384,0.0028320495806261614
AggTotalNorm,0,224.65527904248663,225.39964214815467,-0.0038573780699940833,0.49718798332822906,0.002812016671770945
QuantityNorm,0,315.48890890470625,312.99965669440064,0.009273775559707176,0.5026786468950089,0.0026786468950088516
