rule,n,n_per_day,precision,wilson_lo,wilson_hi,base_rate,edge,lift,beats_base_at_95,expectancy_R,expectancy_R_base,expectancy_R_delta,coverage
AggBuyNorm_lt_prev,1612,55.59,0.5713399503722084,0.5470395708894614,0.5953011139895514,0.5758096875895672,-0.004469737217358771,0.9922374747877727,False,0.04207313330400671,0.03717582191793065,0.0048973113860760545,0.46202350243622814
AggTotalPerQuantity_gt_prev,1171,40.38,0.5713065755764304,0.5427732324885775,0.5993735896872802,0.5758096875895672,-0.004503112013136801,0.992179513283308,False,0.02579857943935085,0.03717582191793065,-0.011377242478579803,0.3356262539409573
TradesNorm_gt_prev,1986,68.48,0.5709969788519638,0.5491127528940616,0.5926070704325791,0.5758096875895672,-0.004812708737603422,0.991641841321305,False,0.01419271120508116,0.03717582191793065,-0.022983110712849492,0.5692175408426483
AggSellNorm_gt_prev,1885,65.0,0.5708222811671088,0.548356071353369,0.5930004087241558,0.5758096875895672,-0.004987406422458429,0.9913384464868306,False,0.016343741126548655,0.03717582191793065,-0.020832080791381997,0.5402694181713958
AggTotalRatio20_gt_prev,2555,88.1,0.5706457925636008,0.551360456919425,0.5897190065377894,0.5758096875895672,-0.00516389502596637,0.9910319413909424,False,0.01847798698991498,0.03717582191793065,-0.01869783492801567,0.7323015190599026
AggBuyNorm_ratio1 < mediana,1662,57.31,0.5703971119133574,0.546462447140978,0.5940070908991334,0.5758096875895672,-0.005412575676209785,0.9906000614562986,False,0.039902529877398035,0.03717582191793065,0.0027267079594673824,0.4763542562338779
AggSellNorm_chg1 < mediana,1744,60.14,0.569954128440367,0.5465894794119717,0.593011271594298,0.5758096875895672,-0.005855559149200218,0.9898307387398907,False,0.0392050069594325,0.03717582191793065,0.0020291850415018464,0.4998566924620235
TradesPerQuantity_chg1 > mediana,1744,60.14,0.5693807339449541,0.5460135711110464,0.5924429114443522,0.5758096875895672,-0.006428953644613045,0.9888349331677179,False,0.025566470878820444,0.03717582191793065,-0.011609351039110209,0.4998566924620235
AggTotalRatio20_chg1 < mediana,1743,60.1,0.5691336775674125,0.5457587098448425,0.5922045720005177,0.5758096875895672,-0.006676010022154677,0.9884058740829778,False,0.04562276393899308,0.03717582191793065,0.008446942021062429,0.4995700773860705
QuantityRatio20_chg1 < mediana,1743,60.1,0.5691336775674125,0.5457587098448425,0.5922045720005177,0.5758096875895672,-0.006676010022154677,0.9884058740829778,False,0.04518158256770878,0.03717582191793065,0.008005760649778128,0.4995700773860705
AggTotalPerTrade_chg1 > mediana,1744,60.14,0.5688073394495413,0.5454376944783812,0.5918745196261465,0.5758096875895672,-0.007002348140025871,0.9878391275955449,False,0.02194123669587199,0.03717582191793065,-0.015234585222058662,0.4998566924620235
QuantityPerTrade_chg1 > mediana,1744,60.14,0.5688073394495413,0.5454376944783812,0.5918745196261465,0.5758096875895672,-0.007002348140025871,0.9878391275955449,False,0.024318646103682486,0.03717582191793065,-0.012857175814248167,0.4998566924620235
LowerWickNorm_chg1 < mediana,1377,47.48,0.5686274509803921,0.5423127514328798,0.5945602975830246,0.5758096875895672,-0.007182236609175052,0.9875267180042749,False,0.025459185899771707,0.03717582191793065,-0.011716636018158946,0.39466895958727427
LowerWickNorm_lt_prev,1377,47.48,0.5686274509803921,0.5423127514328798,0.5945602975830246,0.5758096875895672,-0.007182236609175052,0.9875267180042749,False,0.025459185899771707,0.03717582191793065,-0.011716636018158946,0.39466895958727427
RangeRatio20_lt_prev,400,13.79,0.5675,0.5185336742850802,0.6151821192339629,0.5758096875895672,-0.008309687589567183,0.9855686908909906,False,0.048690367769828026,0.03717582191793065,0.011514545851897373,0.11464603038119806
QuantityPerTradeRatio20_chg1 > mediana,1743,60.1,0.5668387837062536,0.5434541250918049,0.5899294627503899,0.5758096875895672,-0.008970903883313563,0.9844203665261916,False,0.02074601483244838,0.03717582191793065,-0.01642980708548227,0.4995700773860705
AggTotalPerQuantity_chg1 > mediana,1744,60.14,0.5665137614678899,0.543134504326196,0.5896006359748472,0.5758096875895672,-0.00929592612167729,0.9838559053068532,False,0.017652936084517314,0.03717582191793065,-0.01952288583341334,0.4998566924620235
BuyShare_chg1 < mediana,1725,59.48,0.5652173913043478,0.54170398342569,0.5884409644978212,0.5758096875895672,-0.010592296285219405,0.9816045187958534,False,0.01795762433669567,0.03717582191793065,-0.019218197581234983,0.4944110060189166
BuyShare_lt_prev,1725,59.48,0.5652173913043478,0.54170398342569,0.5884409644978212,0.5758096875895672,-0.010592296285219405,0.9816045187958534,False,0.01795762433669567,0.03717582191793065,-0.019218197581234983,0.4944110060189166
RangeRatio20_chg1 > mediana,1743,60.1,0.5651176133103843,0.5417260188709063,0.5882227984689141,0.5758096875895672,-0.01069207427918284,0.9814312358586018,False,0.00146933529872009,0.03717582191793065,-0.03570648661921056,0.4995700773860705
SellShare_ratio1 > mediana,1668,57.52,0.564748201438849,0.5408329485590225,0.5883658942021578,0.5758096875895672,-0.011061486150718225,0.9807896838328244,False,0.01739306569040982,0.03717582191793065,-0.019782756227520834,0.47807394668959585
