target,feature_set,n_features,n_lags,depth,learning_rate,l2_leaf_reg,oof_auc,oof_pr_auc,base_rate,auc_fold_mean,auc_fold_std,auc_fold_min,folds_above_05,n_folds,stability_score
p2c2,STRUCT+AGG,41,5,3,0.02,10.0,0.5141466277064572,0.46103340829276646,0.45373665480427045,0.5330898390484896,0.06069649360791417,0.470221920289855,4,6,0.5027415922445325
p2c2,EXTENDED,97,5,4,0.02,3.0,0.5213390975282621,0.47456333934607076,0.45373665480427045,0.519041283117774,0.03269871993843589,0.4742688535971536,3,6,0.502691923148556
p2c2,STRUCT+VOL,28,5,3,0.05,3.0,0.5130341061506035,0.46098446015842803,0.45373665480427045,0.5153249917879008,0.026552526412288387,0.4849377501111605,4,6,0.5020487285817566
p2c2,EXTENDED,97,5,4,0.1,10.0,0.5224608002810245,0.4750244287477605,0.45373665480427045,0.523387182776699,0.042764947021248216,0.4427087853278949,5,6,0.502004709266075
p2c2,BASE,42,5,3,0.02,3.0,0.5207403238168231,0.47298627434624574,0.45373665480427045,0.52675293967584,0.05010632889266395,0.47632271688507044,4,6,0.501699775229508
p2c2,BASE,42,5,6,0.02,3.0,0.5347763779779012,0.48040724409259294,0.45373665480427045,0.5307150795571611,0.05817632592863004,0.4509531661315051,4,6,0.5016269165928461
p2c2,STRUCT+AGG,41,5,3,0.02,3.0,0.5254223350578016,0.4647147729816863,0.45373665480427045,0.5250237174853499,0.04746586687454887,0.47021898232520465,4,6,0.5012907840480755
p2c2,BASE,42,5,4,0.05,10.0,0.5285523248387303,0.47436953277018556,0.45373665480427045,0.5332253703207138,0.06470093158942634,0.44348983193034225,4,6,0.5008749045260007
p2c2,EXTENDED,97,5,4,0.05,3.0,0.5224528166315386,0.47248794367838826,0.45373665480427045,0.5186034711173009,0.03595247390638102,0.4494633920564668,5,6,0.5006272341641104
p2c2,STRUCT+AGG,41,5,6,0.1,10.0,0.5327601073002491,0.47867849977810406,0.45373665480427045,0.5302041068636268,0.0593564042420813,0.46281350342792676,4,6,0.5005259047425862
p2c2,EXTENDED,97,5,6,0.05,3.0,0.5328443348023248,0.47822463313845737,0.45373665480427045,0.5208864080005978,0.04272903746064653,0.46278457577598425,5,6,0.4995218892702746
